Team Name,Number Of Matches,Total Points,Avg Total Points,WWCD,Avg Rank,Place Pts,Avg Place Pts,Kills,Avg Kills,Assists,Damage Dealt,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Knocks,Revives,Headshot Kills,Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
Daytrade Gaming,18,80,4.4,0,8.3,23,1.3,57,3.2,36,12798,711,15296,849.8,65,22,13,4,8,177,9,92,1074,42,0,20,26,272,13,157,165,11,51,0,81.3,333.5,07:03:28,00:23:31,142,7874,225,8
Newhappy,18,116,6.4,3,8.1,44,2.4,72,4,34,13298,738.8,20030,1112.8,65,20,17,8,6,257,18,140,1243,43,11,9,0,312,22,198,142,16,36,0,93.2,288,07:04:53,00:23:36,275,13216,346,8
FaZe Clan,18,113,6.3,1,7.7,43,2.4,70,3.9,43,15129,840.5,16760,931.1,82,14,22,6,10,245,27,103,1043,52,9,13,31,270,24,122,117,20,21,0,85.7,271,06:58:19,00:23:14,188,9714,292,9
TYLOO,18,79,4.4,0,9.4,20,1.1,59,3.3,27,11167,620.4,15093,838.5,64,21,13,9,2,209,26,83,724,38,5,9,0,270,16,111,127,7,14,0,66,335.3,06:36:29,00:22:01,119,7678,210,9
THEERATHON FIVE,18,75,4.2,1,8.7,34,1.9,41,2.3,29,14588,810.4,13475,748.6,52,18,9,6,8,216,33,87,1197,36,2,5,0,270,34,117,161,23,37,0,76.7,228.9,06:41:17,00:22:17,105,6395,205,5
Spacestation Gaming,18,80,4.4,1,9.9,25,1.4,55,3.1,29,11546,641.4,14710,817.2,68,9,22,5,8,142,9,51,760,34,1,10,0,272,19,132,140,17,17,0,66.4,353,06:28:29,00:21:34,157,7697,222,3
Luminosity Gaming,18,102,5.7,1,8.4,36,2,66,3.7,31,14876,826.4,16502,916.8,67,16,13,9,6,191,16,97,1042,31,3,13,79,235,14,126,144,13,34,0,74.9,319.9,06:57:44,00:23:12,186,9411,253,7
Twisted Minds,18,125,6.9,2,7.2,51,2.8,74,4.1,61,17472,970.7,21400,1188.9,79,36,16,8,12,268,42,136,1929,41,6,12,327,347,42,204,161,49,41,0,92.6,257.1,07:21:38,00:24:32,284,14522,284,12
Danawa e-sports,18,137,7.6,2,7.2,51,2.8,86,4.8,43,20554,1141.9,17497,972.1,96,19,20,11,11,228,20,120,1024,47,5,18,200,321,47,153,117,15,21,0,105.2,390.5,07:25:28,00:24:44,183,10594,331,5
Gen.G,18,71,3.9,0,9.3,23,1.3,48,2.7,32,10794,599.7,15379,854.4,49,12,12,3,8,168,10,81,942,42,1,10,6,291,17,156,176,22,32,0,72,281.7,06:45:16,00:22:30,138,8057,244,3
Tianba,18,100,5.6,0,8.2,27,1.5,73,4.1,40,14329,796.1,18233,1012.9,67,20,14,13,7,215,24,92,720,32,0,9,44,241,17,103,138,11,20,0,72.3,291.8,07:09:59,00:23:53,191,10833,271,9
Petrichor Road,18,119,6.6,1,9.3,36,2,83,4.6,46,14935,829.7,17781,987.8,79,27,16,6,3,215,11,114,1439,61,9,19,3,271,18,114,172,13,40,0,79.6,225.7,06:40:05,00:22:13,192,10615,255,7
17Gaming,18,133,7.4,2,7.2,55,3.1,78,4.3,33,14101,783.4,16745,930.3,63,17,17,13,8,270,30,147,1794,47,3,25,96,285,21,140,181,7,31,0,77.8,254.6,07:29:47,00:24:59,189,9526,308,10
CERBERUS Esports,18,109,6.1,1,7.8,41,2.3,68,3.8,44,17293,960.7,18921,1051.2,85,25,21,7,12,160,6,84,560,38,1,15,32,259,16,115,140,10,18,0,105.9,287,07:13:14,00:24:04,250,11624,256,9
V7 FUNPIN,18,99,5.5,2,10.1,37,2.1,62,3.4,40,14160,786.7,14657,814.3,69,16,17,8,11,218,22,116,1186,34,7,8,23,268,46,115,161,21,27,0,76.7,237.9,06:15:25,00:20:51,138,8020,239,2
Soniqs,18,82,4.6,1,9.2,30,1.7,52,2.9,26,12999,722.2,14182,787.9,63,19,11,6,5,225,30,105,1462,47,3,18,247,280,38,139,143,23,17,0,72,311,06:24:08,00:21:20,134,7136,191,10
