Daytrade Gaming,Newhappy,FaZe Clan,TYLOO,THEERATHON FIVE,Spacestation Gaming,Luminosity Gaming,Twisted Minds,Danawa e-sports,Gen.G,Tianba,Petrichor Road,Team Name,17Gaming,CERBERUS Esports,V7 FUNPIN,Soniqs
18,18,18,18,18,18,18,18,18,18,18,18,Number Of Matches,18,18,18,18
80,116,113,79,75,80,102,125,137,71,100,119,Total Points,133,109,99,82
4.4,6.4,6.3,4.4,4.2,4.4,5.7,6.9,7.6,3.9,5.6,6.6,Avg Total Points,7.4,6.1,5.5,4.6
0,3,1,0,1,1,1,2,2,0,0,1,WWCD,2,1,2,1
8.3,8.1,7.7,9.4,8.7,9.9,8.4,7.2,7.2,9.3,8.2,9.3,Avg Rank,7.2,7.8,10.1,9.2
23,44,43,20,34,25,36,51,51,23,27,36,Place Pts,55,41,37,30
1.3,2.4,2.4,1.1,1.9,1.4,2,2.8,2.8,1.3,1.5,2,Avg Place Pts,3.1,2.3,2.1,1.7
57,72,70,59,41,55,66,74,86,48,73,83,Kills,78,68,62,52
3.2,4,3.9,3.3,2.3,3.1,3.7,4.1,4.8,2.7,4.1,4.6,Avg Kills,4.3,3.8,3.4,2.9
36,34,43,27,29,29,31,61,43,32,40,46,Assists,33,44,40,26
12798,13298,15129,11167,14588,11546,14876,17472,20554,10794,14329,14935,Damage Dealt,14101,17293,14160,12999
711,738.8,840.5,620.4,810.4,641.4,826.4,970.7,1141.9,599.7,796.1,829.7,Avg Damage Dealt,783.4,960.7,786.7,722.2
15296,20030,16760,15093,13475,14710,16502,21400,17497,15379,18233,17781,Damage Taken,16745,18921,14657,14182
849.8,1112.8,931.1,838.5,748.6,817.2,916.8,1188.9,972.1,854.4,1012.9,987.8,Avg Damage Taken,930.3,1051.2,814.3,787.9
65,65,82,64,52,68,67,79,96,49,67,79,Knocks,63,85,69,63
22,20,14,21,18,9,16,36,19,12,20,27,Revives,17,25,16,19
13,17,22,13,9,22,13,16,20,12,14,16,Headshot Kills,17,21,17,11
4,8,6,9,6,5,9,8,11,3,13,6,Stolen Kills,13,7,8,6
8,6,10,2,8,8,6,12,11,8,7,3,Lost Kills,8,12,11,5
177,257,245,209,216,142,191,268,228,168,215,215,Grenades Picked,270,160,218,225
9,18,27,26,33,9,16,42,20,10,24,11,Grenades Dropped,30,6,22,30
92,140,103,83,87,51,97,136,120,81,92,114,Grenades Thrown,147,84,116,105
1074,1243,1043,724,1197,760,1042,1929,1024,942,720,1439,Grenades Damage,1794,560,1186,1462
42,43,52,38,36,34,31,41,47,42,32,61,Molotovs Picked,47,38,34,47
0,11,9,5,2,1,3,6,5,1,0,9,Molotovs Dropped,3,1,7,3
20,9,13,9,5,10,13,12,18,10,9,19,Molotovs Thrown,25,15,8,18
26,0,31,0,0,0,79,327,200,6,44,3,Molotovs Damage,96,32,23,247
272,312,270,270,270,272,235,347,321,291,241,271,Smokes Picked,285,259,268,280
13,22,24,16,34,19,14,42,47,17,17,18,Smokes Dropped,21,16,46,38
157,198,122,111,117,132,126,204,153,156,103,114,Smokes Thrown,140,115,115,139
165,142,117,127,161,140,144,161,117,176,138,172,Flashes Picked,181,140,161,143
11,16,20,7,23,17,13,49,15,22,11,13,Flashes Dropped,7,10,21,23
51,36,21,14,37,17,34,41,21,32,20,40,Flashes Thrown,31,18,27,17
0,0,0,0,0,0,0,0,0,0,0,0,Swimming Distance (km),0,0,0,0
81.3,93.2,85.7,66,76.7,66.4,74.9,92.6,105.2,72,72.3,79.6,Walk Distance (km),77.8,105.9,76.7,72
333.5,288,271,335.3,228.9,353,319.9,257.1,390.5,281.7,291.8,225.7,Ride Distance (km),254.6,287,237.9,311
07:03:28,07:04:53,06:58:19,06:36:29,06:41:17,06:28:29,06:57:44,07:21:38,07:25:28,06:45:16,07:09:59,06:40:05,Time Survived,07:29:47,07:13:14,06:15:25,06:24:08
00:23:31,00:23:36,00:23:14,00:22:01,00:22:17,00:21:34,00:23:12,00:24:32,00:24:44,00:22:30,00:23:53,00:22:13,Avg Time Survived,00:24:59,00:24:04,00:20:51,00:21:20
142,275,188,119,105,157,186,284,183,138,191,192,Heals,189,250,138,134
7874,13216,9714,7678,6395,7697,9411,14522,10594,8057,10833,10615,Health Recovered,9526,11624,8020,7136
225,346,292,210,205,222,253,284,331,244,271,255,Boosts,308,256,239,191
8,8,9,9,5,3,7,12,5,3,9,7,Vehicle Destroys,10,9,2,10
